web-scraper-order,web-scraper-start-url,hotel_pagination_losangels,hotels_name_losangels,hotels_name_losangels-href,hotels_address_losangels,hotels_images_losangels-src,hotels_rating_losangels,hotels_contactno_losangels,hotels_websitelist_losangels,hotels_websitelist_losangels-href
1705849630-1,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Hollywood Burbank Airport (BUR),https://foursquare.com/v/hollywood-burbank-airport-bur/4a344606f964a520069c1fe3,"2627 N Hollywood Way (at Empire Ave), Burbank",https://fastly.4sqi.net/img/general/300x300/24130402_cxJRBo-Z2bOsSaWzHTl6u_JfOyPTNiRCB78nqGLSr_I.jpg,6.8,(818) 840-8840,hollywoodburbankairport.com,http://hollywoodburbankairport.com/
1705849640-2,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Cafe Sierra,https://foursquare.com/v/cafe-sierra/4bac04a0f964a5206ede3ae3,"555 Universal Hollywood Dr (at Hilton Universal City), Universal City",https://fastly.4sqi.net/img/general/300x300/16576332_mKA2O7e4gyov7qdh8NdMcQDHSoS8PYPNiLmT1KGH1jE.jpg,6.9,(818) 509-2030,cafesierrahilton.com,http://www.cafesierrahilton.com/
1705849649-3,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Anar Indian Restaurant,https://foursquare.com/v/anar-indian-restaurant/515488f9e4b00a6313dbbe75,"1807 N Cahuenga Blvd (Yucca St), Los Angeles",https://fastly.4sqi.net/img/general/300x300/178208964_efsI2FTY_GyImz6rnvw6LXF5DoLVDG-MWRketohv3E4.jpg,7,(323) 466-0422,postmates.com/la/anar-indian-restaurant-los-angeles,http://postmates.com/la/anar-indian-restaurant-los-angeles
1705849660-4,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Ray's & Stark Bar,https://foursquare.com/v/rays--stark-bar/4d632faf1a83f04d320c712b,"5905 Wilshire Boulevard, Los Angeles",https://fastly.4sqi.net/img/general/300x300/5538955_PfptKnZda9HSC2NH62AftMAUiOiHR48F4zZqejv1zgw.jpg,7.1,(323) 857-6180,patinagroup.com/rays-and-stark-bar,https://www.patinagroup.com/rays-and-stark-bar
1705849691-5,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Starbucks,https://foursquare.com/v/starbucks/4a97ee25f964a520e82920e3,"5855 W Century Blvd, Los Angeles",https://fastly.4sqi.net/img/general/300x300/1812903_cJgt6qwe5IM3KzRwjtG0CFnurBE_KaoG7uBe4S-eafE.jpg,7.1,(310) 641-5700,starbucks.com/store/12628,https://www.starbucks.com/store/12628
1705849700-6,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Riviera 31 at The Sofitel,https://foursquare.com/v/riviera-31-at-the-sofitel/518ddbc7498e4c32aa392b94,"8555 Beverly Blvd (at N La Cienega Blvd), Los Angeles",https://fastly.4sqi.net/img/general/300x300/1472011_vGiceSJuU7Sb4UjJdg13lmvNgbrE1i3wwFozEcShrXI.jpg,7.3,,esterelrestaurant.com,http://esterelrestaurant.com/
1705849724-7,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Starbucks,https://foursquare.com/v/starbucks/4aa2f63ff964a520c74220e3,"8363 NE Sunset Blvd, West Hollywood",https://fastly.4sqi.net/img/general/300x300/529887405_KelmyK-5HSCuDxV7pKmHMugRBsMwwMubdyRfLk-O6og.jpg,7.4,(323) 848-8663,starbucks.com,https://www.starbucks.com/
1705849735-8,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Matisse Restaurant,https://foursquare.com/v/matisse-restaurant/4db45b8ecda1c57c8259d7ed,"14400 Hindry Ave (at Rosecrans Ave), Hawthorne",https://fastly.4sqi.net/img/general/300x300/91121321_L8avrmevtiQdx47h50YsheZ_zWtc_VgQtFuWb47sJAU.jpg,7.4,(310) 536-0807,matisserestaurant.net,http://www.matisserestaurant.net/
1705849744-9,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Boxwood Restaurant,https://foursquare.com/v/boxwood-restaurant/4adb6dc9f964a5205d2721e3,"1020 N San Vicente Blvd (at Sunset Blvd), West Hollywood",https://fastly.4sqi.net/img/general/300x300/164243438_w9QrRKdtdHrGZHOKsdtNwV0v266dqDAK9rQxf2YkD_o.jpg,7.5,(310) 358-7788,thelondonwesthollywood.com/dining-en.html,http://www.thelondonwesthollywood.com/dining-en.html
1705849775-10,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Pooch Hotel Hollywood,https://foursquare.com/v/pooch-hotel-hollywood/5033cbb6e4b03e64bc72d559,"960 Highland Ave (At Romaine), Los Angeles",https://fastly.4sqi.net/img/general/300x300/87388367_0llWeJ3TQa2giOKN0PIVzBddKRABFPuTGk3pV0Co2vE.jpg,7.5,(323) 465-5810,poochhotel.com/locations/california/hollywood,https://www.poochhotel.com/
1705849790-11,https://foursquare.com/explore?mode=url&ne=34.126584%2C-118.234692&q=hotel&sw=33.948771%2C-118.522396,,Starbucks,https://foursquare.com/v/starbucks/4af0e085f964a520d9df21e3,"530 N Pacific Coast Hwy, El Segundo",https://fastly.4sqi.net/img/general/300x300/64710889_RpzlEsCYYtEPwRi5T1QN2HLuTr_BdKYJFkKU2vZIVHI.jpg,7.6,(310) 647-1697,starbucks.com,https://www.starbucks.com/
